stationId,locationName,lat,lon,obstime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,WDIR,WDSD,TEMP,HUMD,PRES,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT,CITY,CITY_SN,TOWN,TOWN_SN,reportTime
C0S980,勝林山,22.432239,120.885742,2020-07-27 14:00:00,901.0,,,,,,,,0,0.0,26.2,0.94,908.9,1.0,-99,-99,-99,30.40,2020-07-27T12:20:00+08:00,22.30,2020-07-27T04:00:00+08:00,臺東縣,22,達仁鄉,337,2020-07-27 14:41:03
C0X110,臺南市南區,22.963028,120.180417,2020-07-27 14:00:00,20.0,,,,,,,,257,2.9,32.2,0.69,1005.1,0.0,-99,-99,-99,32.60,2020-07-27T13:40:00+08:00,27.40,2020-07-27T05:30:00+08:00,臺南市,04,南區,281,2020-07-27 14:41:03
C0V310,美濃,22.900556,120.511111,2020-07-27 14:00:00,46.0,,,,,,,,222,2.4,28.9,0.81,1001.7,3.5,-99,-99,-99,34.20,2020-07-27T12:00:00+08:00,25.00,2020-07-27T05:50:00+08:00,高雄市,05,美濃區,282,2020-07-27 14:41:03
C0G620,芬園,24.017222,120.613056,2020-07-27 14:00:00,110.0,,,,,,,,298,2.7,33.9,0.62,994.4,0.0,-99,-99,-99,35.20,2020-07-27T11:50:00+08:00,23.90,2020-07-27T05:00:00+08:00,彰化縣,14,芬園鄉,148,2020-07-27 14:41:03
C0AD50,鶯歌,24.953000,121.337250,2020-07-27 14:00:00,84.0,,,,,,,,305,3.9,32.6,0.69,997.5,0.0,-99,-99,-99,34.20,2020-07-27T11:00:00+08:00,25.90,2020-07-27T05:30:00+08:00,新北市,06,鶯歌區,054,2020-07-27 14:41:03
C0A9A0,大直,25.079722,121.534722,2020-07-27 14:00:00,24.0,,,,,,,,118,2.8,29.3,0.77,1004.8,0.5,8.8,314,2020-07-27T13:21:00+08:00,34.70,2020-07-27T12:10:00+08:00,26.80,2020-07-27T05:50:00+08:00,臺北市,01,中山區,026,2020-07-27 14:41:03
C0O830,北寮,23.081611,120.486944,2020-07-27 14:00:00,127.0,,,,,,,,247,1.5,35.4,0.62,993.0,0.0,-99,-99,-99,35.50,2020-07-27T13:10:00+08:00,23.50,2020-07-27T05:50:00+08:00,臺南市,04,南化區,244,2020-07-27 14:41:03
C0S760,紅石,23.071389,121.120000,2020-07-27 14:00:00,1621.0,,,,,,,,162,1.4,20.3,1,838.0,0.0,-99,-99,-99,22.60,2020-07-27T11:30:00+08:00,17.90,2020-07-27T03:40:00+08:00,臺東縣,22,海端鄉,240,2020-07-27 14:41:03
C0X160,仁德,22.970111,120.249778,2020-07-27 14:00:00,26.0,,,,,,,,234,4.3,32.7,0.66,1003.6,0.0,-99,-99,-99,32.90,2020-07-27T12:00:00+08:00,26.30,2020-07-27T04:50:00+08:00,臺南市,04,仁德區,279,2020-07-27 14:41:03
C0C490,八德,24.930528,121.275000,2020-07-27 14:00:00,157.0,,,,,,,,326,2.1,31.4,0.66,989.1,0.0,-99,-99,-99,34.80,2020-07-27T11:50:00+08:00,26.40,2020-07-27T06:00:00+08:00,桃園市,08,八德區,052,2020-07-27 14:41:03
C0F970,大坑,24.174889,120.714139,2020-07-27 14:00:00,145.0,,,,,,,,271,2.7,32.3,0.61,989.4,0.0,-99,-99,-99,33.80,2020-07-27T12:50:00+08:00,25.00,2020-07-27T03:50:00+08:00,臺中市,02,北屯區,124,2020-07-27 14:41:03
C0R440,大漢山,22.405861,120.745083,2020-07-27 14:00:00,1679.0,,,,,,,,263,1.8,20.0,1,832.9,3.0,-99,-99,-99,21.10,2020-07-27T12:40:00+08:00,17.30,2020-07-27T05:40:00+08:00,屏東縣,20,春日鄉,343,2020-07-27 14:41:03
C0M690,水上,23.421475,120.380792,2020-07-27 14:00:00,33.0,,,,,,,,233,5.0,30.4,0.73,1001.9,0.0,10.2,227,2020-07-27T13:57:00+08:00,33.80,2020-07-27T13:20:00+08:00,25.20,2020-07-27T05:50:00+08:00,嘉義縣,17,水上鄉,223,2020-07-27 14:41:03
C0V690,鼓山,22.625139,120.267500,2020-07-27 14:00:00,30.0,,,,,,,,239,3.4,32.1,0.72,1004.4,0.0,-99,-99,-99,32.20,2020-07-27T13:00:00+08:00,28.00,2020-07-27T08:00:00+08:00,高雄市,05,鼓山區,316,2020-07-27 14:41:03
